codice;denominazione;ubicazione;comune;coordinata_x;coordinata_y;latitudine;longitudine;codice_zona
1;STAZIONE CENTRALE;PIAZZA MEDAGLIE D`ORO (PENSILINA C);BOLOGNA;686344;930918;44,505762;11,343174;500
2;STAZIONE CENTRALE;VIALE PIETRAMELLARA 51 (FERMATA F);BOLOGNA;686297;930848;44,505145;11,342558;500
3;STAZIONE CENTRALE;PIAZZA MEDAGLIE D`ORO (PENSILINA A);BOLOGNA;686394;930884;44,505444;11,34379;500
4;STAZIONE CENTRALE;VIALE PIETRAMELLARA 53 (FERMATA G);BOLOGNA;686341;930838;44,505044;11,343108;500
5;STAZIONE CENTRALE;PIAZZA MEDAGLIE D`ORO (PENSILINA B);BOLOGNA;686386;930910;44,50568;11,343699;500
6;STAZIONE CENTRALE;VIALE PIETRAMELLARA 63 (FERMATA H);BOLOGNA;686395;930827;44,504931;11,343782;500
7;STAZIONE CENTRALE;PIAZZA MEDAGLIE D`ORO (PENSILINA D);BOLOGNA;686322;930912;44,505714;11,342895;500
8;STAZIONE CENTRALE;VIALE PIETRAMELLARA (PENSILINA M);BOLOGNA;686464;930822;44,504868;11,344648;500
9;STAZIONE CENTRALE;PIAZZA MEDAGLIE D`ORO (PENSILINA E);BOLOGNA;686311;930872;44,505357;11,342743;500
10;PORTA GALLIERA;VIALE MASINI FR 4;BOLOGNA;686604;930779;44,504445;11,346392;500
11;PORTA GALLIERA;VIALE MASINI 4/2;BOLOGNA;686672;930786;44,50449;11,347249;500
12;BORGO;VIALE MASINI 5/3;BOLOGNA;686990;930603;44,502762;11,35118;500
13;BORGO;VIALE MASINI 58;BOLOGNA;686996;930630;44,503003;11,351265;500
14;PORTA MASCARELLA;VIALE BERTI PICHAT 1;BOLOGNA;687196;930499;44,501773;11,353732;500
16;STAZIONE CENTRALE;VIALE PIETRAMELLARA 59 (FERMATA J);BOLOGNA;686362;930834;44,505002;11,34337;500
17;PORTA MASCARELLA;VIALE BERTI PICHAT 2/B;BOLOGNA;687258;930502;44,501784;11,354512;500
18;PORTA SAN DONATO;VIALE FILOPANTI 1;BOLOGNA;687431;930038;44,497565;11,356518;500
19;PORTA SAN DONATO;VIALE BERTI PICHAT 30;BOLOGNA;687437;930211;44,49912;11,356656;500
20;PORTA SAN VITALE;VIALE FILOPANTI 11;BOLOGNA;687470;929700;44,494515;11,356886;500
21;FILOPANTI;VIALE FILOPANTI PALO LUCE 398;BOLOGNA;687483;929806;44,495465;11,357088;500
22;PORTA MAGGIORE;VIALE ERCOLANI FR 4/2;BOLOGNA;687498;929408;44,491881;11,357132;500
25;PORTA SAN VITALE;VIALE ERCOLANI FR 3;BOLOGNA;687514;929517;44,492857;11,357372;500
26;CARDUCCI;VIALE CARDUCCI 9;BOLOGNA;687565;928830;44,486665;11,357764;500
27;PORTA MAGGIORE;VIALE ERCOLANI 6;BOLOGNA;687541;929307;44,490961;11,357636;500
28;PORTA SANTO STEFANO;VIALE GOZZADINI 1;BOLOGNA;687372;928603;44,484673;11,355257;500
29;CARDUCCI;VIALE CARDUCCI 30;BOLOGNA;687572;929004;44,488228;11,357915;500
30;GIARDINI MARGHERITA;VIALE GOZZADINI 5;BOLOGNA;687144;928633;44,485002;11,352403;500
33;PORTA SANTO STEFANO;VIALE CARDUCCI 52;BOLOGNA;687519;928642;44,484985;11,357118;500
34;PORTA CASTIGLIONE;VIALE GOZZADINI 21;BOLOGNA;686898;928667;44,485371;11,349324;500
35;GIARDINI MARGHERITA;VIALE GOZZADINI FR 5;BOLOGNA;687143;928609;44,484786;11,352382;500
36;PARCHEGGIO STAVECO;VIALE PANZACCHI 9;BOLOGNA;686464;928727;44,486023;11,343892;500
37;PORTA CASTIGLIONE;PORTA CASTIGLIONE 14;BOLOGNA;686874;928638;44,485117;11,349012;500
38;PORTA SAN MAMOLO;VIALE ALDINI FR 2/F;BOLOGNA;686013;928826;44,48703;11,338261;500
41;PARCHEGGIO STAVECO;VIALE PANZACCHI 10;BOLOGNA;686555;928690;44,485667;11,345023;500
42;ALDINI;VIALE ALDINI 19;BOLOGNA;685693;928987;44,48856;11,334298;500
43;PORTA SAN MAMOLO;VIALE PANZACCHI FR 25;BOLOGNA;686222;928732;44,48613;11,340853;500
44;PORTA SARAGOZZA - VILLA C;VIALE ALDINI FR 228;BOLOGNA;685377;929149;44,490099;11,330385;500
45;PETRARCA;VIALE ALDINI 118;BOLOGNA;685818;928892;44,487674;11,335834;500
46;PORTA SARAGOZZA - LICEO R;VIALE PEPOLI FR 56;BOLOGNA;685287;929378;44,492182;11,329336;500
47;PORTA SARAGOZZA - VILLA C;VIALE ALDINI 232;BOLOGNA;685368;929108;44,489732;11,330257;500
49;ALDINI;VIALE ALDINI 190;BOLOGNA;685638;928987;44,488574;11,333607;500
50;PORTA SANT`ISAIA;VIALE VICINI FR 6;BOLOGNA;685193;929748;44,495534;11,328287;500
51;PORTA SARAGOZZA - LICEO R;VIALE PEPOLI 20;BOLOGNA;685277;929305;44,491528;11,329184;500
52;PORTA SAN FELICE;VIALE SILVANI 3;BOLOGNA;685166;930223;44,499814;11,328118;500
53;PORTA SANT`ISAIA;VIALE PEPOLI 74;BOLOGNA;685216;929519;44,493468;11,328494;500
54;PORTA LAME;VIALE SILVANI 11/E;BOLOGNA;685468;930448;44,50176;11,331994;500
57;PORTA SANT`ISAIA;VIALE VICINI 6/2;BOLOGNA;685167;929725;44,495334;11,327952;500
59;VICINI;VIALE VICINI 28;BOLOGNA;685131;929859;44,496548;11,327548;500
61;PORTA SAN FELICE;VIALE VICINI FR 21;BOLOGNA;685081;930065;44,498414;11,326993;500
65;SILVANI;VIALE SILVANI 6;BOLOGNA;685230;930306;44,500544;11,328952;500
67;PORTA LAME;VIALE PIETRAMELLARA 2;BOLOGNA;685600;930583;44,502941;11,333702;500
100;PIAZZA MAGGIORE;PIAZZA RE ENZO 1/3/B;BOLOGNA;686420;929654;44,494373;11,343674;500
104;RIZZOLI;VIA RIZZOLI 26/A;BOLOGNA;686521;929679;44,494572;11,344952;500
105;RIZZOLI;VIA RIZZOLI 5/B;BOLOGNA;686519;929666;44,494455;11,344922;500
108;PIAZZA MAGGIORE;PIAZZA MAGGIORE 3/E;BOLOGNA;686423;929567;44,49359;11,34368;500
109;RIZZOLI;VIA RIZZOLI 7/H;BOLOGNA;686605;929651;44,494298;11,345998;500
111;STRADA MAGGIORE;STRADA MAGGIORE 29;BOLOGNA;686949;929484;44,492707;11,35026;500
112;PIAZZA GALVANI;PIAZZA GALVANI 5;BOLOGNA;686395;929406;44,492149;11,34327;500
113;GARGANELLI;VIA GUERRAZZI 21;BOLOGNA;686994;929246;44,490555;11,35074;500
114;PIAZZA GALVANI;PIAZZA GALVANI FR5;BOLOGNA;686402;929396;44,492057;11,343355;500
117;TORLEONE;STRADA MAGGIORE 51/E;BOLOGNA;687335;929293;44,490889;11,355042;500
201;PIAZZA ALDROVANDI;PIAZZA ALDROVANDI 2;BOLOGNA;687060;929503;44,492849;11,351662;500
202;DUE TORRI;VIA SAN VITALE 20;BOLOGNA;686751;929681;44,49453;11,347843;500
